eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
Kinh, Muong, Khmer;0.0854;0.2105;0.0827;0.4511;0.3404;
Ambonese;0.0854;-0.399;0.4858;-0.9331;-0.5716;
Mel Khaonh;0.0854;0.186;0.1987;0.5697;0.5741;
Naga;0.0854;1.8765;-2.0593;-0.6247;-0.0317;
UrakLawoi;0.0854;0.2897;0.1083;0.5349;0.2965;
Temuan;0.0854;-0.0588;0.2728;-0.1287;-0.0877;
Mon;0.0854;0.3578;-0.1057;0.5389;0.0711;
Mamanwa;0.0854;-0.3003;0.5206;-0.9026;-0.5564;
Ifugao;0.0854;-0.368;0.6107;-1.1608;-0.7485;
Jarai;0.0854;0.2489;0.2195;0.6747;0.6596;
Nung;0.0854;0.176;0.148;0.421;0.3715;
Ibaloi;0.0854;-0.4206;0.5999;-1.1997;-0.772;
Dawei;0.0854;0.7498;-0.9915;5.9148;-8.5093;
CoLao;0.0854;0.2037;0.1251;0.4477;0.396;
Unknown;0.0854;-0.0943;0.463;-0.3746;-0.1823;
Isan (or Lao);0.0854;0.1658;0.0882;0.3333;0.305;
Lao;0.0854;0.1909;0.1584;0.4667;0.5072;
Cham;0.0854;0.1542;0.1615;0.2543;0.2258;
Hmong;0.0854;0.1933;0.1086;0.5072;0.4861;
SiLa;0.0854;0.1379;0.1403;0.3367;0.2779;
Ancient Thai;0.0854;0.2722;0.0272;0.2954;0.2491;
H’tin;0.0854;0.1815;0.1257;0.4087;0.343;
Chin;0.0854;1.5968;-1.5044;0.6771;-0.0359;
Dao;0.0854;0.1694;0.154;0.374;0.3388;
Stieng;0.0854;0.2187;0.3286;0.7502;0.9054;
Nyaw;0.0854;0.1974;0.1436;0.3968;0.358;
Phuan;0.0854;0.1508;0.1632;0.3018;0.2947;
Tai Yuan;0.0854;0.2177;0.0697;0.3576;0.3025;
Phutai;0.0854;0.1943;0.1367;0.4273;0.4233;
Maranao;0.0854;-0.283;0.53;-0.891;-0.5819;
PhuLa;0.0854;0.2502;0.0827;0.3897;0.3125;
Tagbanua;0.0854;0.9826;-0.7977;-0.0169;0.136;
Makassarese;0.0854;-0.4259;0.4931;-0.9755;-0.602;
Indonesian;0.0854;-0.1114;0.4066;-0.4089;-0.2104;
Shan;0.0854;0.1361;0.1368;0.334;0.2953;
Orang Asli;0.0854;-3.8535;-3.0718;0.321;0.3364;
Sundanese;-11.7047;0;0;0;0;
Kensiu;0.0854;-0.1045;0.4247;-0.4289;-0.2557;
Black Tai;0.0854;0.1955;0.1478;0.4166;0.3716;
Central Thai;0.0854;0.1531;0.0664;0.382;0.1618;
Achang;0.0854;2.5553;-2.5776;1.4319;-0.3127;
Kinh, Tay, Thai, Muong, Hmong;0.0854;-0.0757;0.7534;-0.7189;-0.3371;

contrib
   ;Dim 1;Dim 2;Dim 3;Dim 4;Dim 5;
Thai;0.0053;0.0136;0.0012;0.0038;0.0172;
Banjar, Dayak, Javanese;0.0053;0.0577;0.3101;0.9572;0.3978;
Hui;0.0053;0.0733;0.0485;0.6427;0.6871;
Dayak;0.0053;0.0371;0.1882;0.4266;0.1576;
Filipino (or Tagalog);0.0053;0.0349;0.1754;0.3476;0.122;
Soa;0.0053;0.0227;0.0194;0.0933;0.0779;
Batak, Acehnese;0.0053;0.0276;0.0182;0.1097;0.0942;
Jahai, Semang;0.0053;11.4642;7.3286;0.0814;0.0902;
