eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
F1a3a2;0.0854;-0.1015;0.4196;-0.8729;-0.5104;
B4c1b2a2b;0.0854;-0.1015;0.4196;-0.8729;-0.5104;
M7c1c1a1;0.0854;-0.1015;0.4196;-0.8729;-0.5104;
F1a3a3;0.0854;-0.1015;0.4196;-0.8729;-0.5104;
B4a2a1*;0.0854;-0.1015;0.4196;-0.8729;-0.5104;
N9a10a2;0.0854;-0.1015;0.4196;-0.8729;-0.5104;
M80;0.0854;-0.2468;0.7094;-1.1594;-0.7513;
R9c1a3;0.0854;-0.2468;0.7094;-1.1594;-0.7513;
M19;0.0854;-0.1475;0.5858;-0.8359;-0.5297;
M7c1c3*4;0.0854;-0.2788;0.5171;-0.8135;-0.4877;
P10;0.0854;-0.2746;0.5253;-0.8394;-0.5226;
R9c1b2;0.0854;-0.2017;0.5409;-0.8715;-0.5714;
M21b1a;0.0854;0.0207;0.7405;-0.7417;-0.3929;
P9a;0.0854;-0.2195;0.4921;-0.6927;-0.4103;
E2a1;0.0854;-0.2195;0.4921;-0.6927;-0.4103;
B5b1c1;0.0854;-0.414;0.6424;-1.2704;-0.8251;
M7c1c3*3;0.0854;-0.4341;0.621;-1.2524;-0.8096;
M7c1c3i;0.0854;-0.3507;0.5886;-1.1084;-0.7104;
M7c1c3h;0.0854;-0.4494;0.6766;-1.3743;-0.8984;
F3b1b1;0.0854;-0.4142;0.6246;-1.2378;-0.801;
M7c1c3g;0.0854;-0.4493;0.6765;-1.3743;-0.8984;
B4a1a6;0.0854;-0.4164;0.6529;-1.2926;-0.8413;
B4a1a6a;0.0854;-0.4443;0.658;-1.3337;-0.8688;
B4a1a5a;0.0854;-0.3664;0.6087;-1.22;-0.7832;
Y2a1a;0.0854;-0.403;0.6263;-1.2296;-0.7965;
M32'56;0.0854;-0.3673;0.5768;-1.102;-0.7213;
H27e;0.0854;-0.4152;0.6232;-1.239;-0.8026;
B4m;0.0854;-0.1153;0.3825;-0.4108;-0.2088;
B4a1a3a1*;0.0854;-0.1015;0.4196;-0.8729;-0.5104;
B4'5;0.0854;-0.1015;0.4196;-0.8729;-0.5104;
B4a1a4;0.0854;-0.1015;0.4196;-0.8729;-0.5104;
B4c1b2a2a;0.0854;-0.1015;0.4196;-0.8729;-0.5104;
B5a2a2b1;0.0854;-0.1015;0.4196;-0.8729;-0.5104;
M7c1c3f;0.0854;-0.4471;0.6817;-1.3823;-0.9048;
B5b1c1*;0.0854;-0.4544;0.6951;-1.4149;-0.9281;
N11b*;0.0854;-0.31;0.5389;-0.9423;-0.5835;
B4b1a2c;0.0854;-0.31;0.5389;-0.9423;-0.5835;
R24;0.0854;-0.31;0.5389;-0.9423;-0.5835;
M7c1c3d;0.0854;-0.3012;0.5245;-0.8945;-0.5506;
R9b1a1;0.0854;-0.31;0.5389;-0.9423;-0.5835;
E2a1a;0.0854;-0.2521;0.509;-0.7826;-0.4727;
E2b*;0.0854;-0.295;0.5255;-0.8515;-0.5118;
B4c1b2a2*2;0.0854;-0.295;0.5255;-0.8515;-0.5118;
B4c1b2a2*3;0.0854;-0.295;0.5255;-0.8515;-0.5118;
N11b;0.0854;-0.295;0.5255;-0.8515;-0.5118;
F1a4a1*1;0.0854;-0.295;0.5255;-0.8515;-0.5118;
B4b1a2b1;0.0854;-0.2938;0.526;-0.8795;-0.5499;
M7c1c3a;0.0854;-0.295;0.5255;-0.8515;-0.5118;
B4c1b2a2*1;0.0854;-0.2947;0.5184;-0.8552;-0.5197;
D6c1a;0.0854;-0.2921;0.5487;-0.9302;-0.6102;
M7b1a2a1*1;0.0854;-0.2921;0.5487;-0.9302;-0.6102;
D6c1;0.0854;-0.2594;0.5232;-0.8233;-0.5203;
Z4;0.0854;-0.1217;0.4079;-0.4301;-0.2229;
M7a1a6;0.0854;-0.2195;0.4921;-0.6927;-0.4103;
B6a1;0.0854;0.0411;0.2622;0.001;0.044;
B4b1a2d;0.0854;-0.2945;0.5135;-0.8578;-0.5252;
B4b1a2b2*;0.0854;-0.2945;0.5135;-0.8578;-0.5252;
CZ;0.0854;0.1995;0.1124;0.5295;0.5098;
F1g1;0.0854;0.2015;0.123;0.479;0.4513;
D4e1a3;0.0854;0.2178;0.1144;0.4641;0.4202;
B5a1c*;0.0854;0.2102;0.1257;0.4632;0.4085;
B4a5*;0.0854;0.1995;0.1124;0.5295;0.5098;
B4g2*;0.0854;0.1785;0.1048;0.5079;0.4845;
B5a1c1a1;0.0854;0.2086;0.1224;0.4722;0.4198;
F1a1'4;0.0854;0.186;0.1243;0.4471;0.2393;
B4g1a;0.0854;0.1807;0.1204;0.366;0.337;
A13;0.0854;0.186;0.1243;0.4471;0.2393;
F3a1*2;0.0854;0.1827;0.1526;0.4076;0.3583;
F1a1a*2;0.0854;0.186;0.1243;0.4471;0.2393;
R9b1a2b*2;0.0854;0.1941;0.1263;0.424;0.3511;
M12a1b*;0.0854;0.2799;0.057;0.4967;0.3234;
C7a1;0.0854;-0.0868;-0.171;0.4948;0.1246;
M74a*;0.0854;0.1931;0.1227;0.4784;0.422;
D4j1b;0.0854;0.2799;0.057;0.4967;0.3234;
M9a5;0.0854;0.1781;0.1569;0.3778;0.3351;
B4a1c4;0.0854;0.2031;0.1739;0.4792;0.437;
R6a2;0.0854;0.1914;-0.0051;0.2618;0.1851;
M9a1b1;0.0854;0.2963;-0.0164;0.5166;0.1401;
B4a1e;0.0854;0.1598;0.012;0.1966;0.1947;
R9c1b1;0.0854;0.181;0.1257;0.2741;0.2294;
Z3a1a;0.0854;0.1897;0.1386;0.4277;0.3379;
N9a;0.0854;0.168;0.0909;0.4276;0.3441;
R9b1a3;0.0854;0.2083;0.0975;0.4419;0.3318;
M71a;0.0854;0.1862;0.081;0.3997;0.2337;
F4b;0.0854;0.1764;0.1031;0.3833;0.2911;
B4b1a2a*;0.0854;0.1843;0.1469;0.4179;0.3642;
F2d;0.0854;0.1688;0.1656;0.389;0.3218;
C4d;0.0854;0.186;0.1243;0.4471;0.2393;
M71b;0.0854;0.204;0.1288;0.4378;0.3552;
M8a2a1;0.0854;0.186;0.1243;0.4471;0.2393;
F2e;0.0854;0.1766;0.1474;0.3685;0.3256;
M5b;0.0854;0.2104;0.0914;0.4006;0.2885;
N9a10;0.0854;0.1784;0.142;0.3919;0.3098;
B4c1b;0.0854;0.1588;0.1574;0.3507;0.2661;
C4a2b2;0.0854;0.186;0.1243;0.4471;0.2393;
N9a1;0.0854;0.155;0.1552;0.3612;0.3276;
D4g2a1b;0.0854;0.1734;0.0951;0.352;0.3296;
N10a;0.0854;0.1644;0.1259;0.3642;0.2886;
N10b;0.0854;0.186;0.1243;0.4471;0.2393;
F1a2;0.0854;0.2039;0.1263;0.3932;0.333;
M10a1a;0.0854;0.186;0.1243;0.4471;0.2393;
C7a;0.0854;0.1966;0.1286;0.4132;0.3492;
A+152;0.0854;0.186;0.1243;0.4471;0.2393;
D4h;0.0854;0.1806;0.1344;0.3716;0.313;
F2b1;0.0854;0.1318;0.0869;0.4366;0.3977;
B4c1b2a;0.0854;0.1385;0.1121;0.4297;0.3851;
F1c1a2;0.0854;0.2085;0.0571;0.4536;0.3091;
F1a3;0.0854;0.2195;0.1229;0.435;0.3639;
D4e3;0.0854;0.2223;0.1265;0.3928;0.3667;
M7b2a;0.0854;0.2018;0.1531;0.435;0.3897;
F1;0.0854;0.281;0.0281;0.3084;0.2612;
M79;0.0854;0.2082;0.1951;0.5147;0.5439;
R11b1;0.0854;0.1977;0.0937;0.2059;0.1528;
R11'B6;0.0854;0.1903;0.0746;0.308;0.2357;
M7c1a3;0.0854;0.2101;0.0723;0.1723;0.1035;
M12a2;0.0854;0.1875;0.0899;0.238;0.148;
G;0.0854;0.1816;0.1317;0.3391;0.298;
M17;0.0854;0.2101;0.0723;0.1723;0.1035;
H13a2a;0.0854;0.158;0.0688;0.3988;0.1696;
M73a1;0.0854;0.1433;0.0546;0.2181;0.1981;
U2a2;0.0854;0.158;0.0688;0.3988;0.1696;
M7c2a;0.0854;0.1422;0.1165;0.2895;0.2791;
M12;0.0854;0.158;0.0688;0.3988;0.1696;
A14;0.0854;0.1904;0.1351;0.4416;0.3593;
G2a1d2;0.0854;0.158;0.0688;0.3988;0.1696;
U1a1c1d;0.0854;0.158;0.0688;0.3988;0.1696;
M7b1a1a;0.0854;0.2066;0.1038;0.4099;0.2965;
M7b1a1g;0.0854;0.158;0.0688;0.3988;0.1696;
D4e1a2;0.0854;0.158;0.0688;0.3988;0.1696;
C4a2b;0.0854;0.1907;0.1372;0.4161;0.3374;
M2a1a;0.0854;0.158;0.0688;0.3988;0.1696;
D5b4;0.0854;0.1727;0.163;0.3877;0.3494;
D4e1a;0.0854;0.3166;0.0307;0.5532;0.229;
M50a1;0.0854;0.3011;0.1043;0.5569;0.3028;
F1b1+@152;0.0854;0.158;0.0688;0.3988;0.1696;
B4b1c1;0.0854;0.159;0.1661;0.3576;0.3267;
F3b;0.0854;0.158;0.0688;0.3988;0.1696;
U1a1c1a;0.0854;0.158;0.0688;0.3988;0.1696;
F1d1;0.0854;0.2771;-0.0317;0.4911;0.116;
B4a1c2;0.0854;0.1975;0.1147;0.4506;0.3553;
F1a4a;0.0854;0.0499;0.0614;0.3658;0.3175;
A5b1;0.0854;0.1613;0.1606;0.3725;0.3193;
D4b;0.0854;0.158;0.0688;0.3988;0.1696;
W3a1b;0.0854;0.3484;-0.0918;0.5464;0.0839;
U2a1b;0.0854;0.158;0.0688;0.3988;0.1696;
B4m*;0.0854;0.1334;0.0798;0.4351;0.3433;
M12b2;0.0854;0.158;0.0688;0.3988;0.1696;
M5c1;0.0854;0.3107;-0.06;0.5171;0.1009;
M12a;0.0854;0.1347;0.2067;0.0377;0.0431;
M71c;0.0854;0.1514;0.1563;0.2951;0.2451;
D4b2b;0.0854;0.1757;0.1296;0.3512;0.2905;
M37e2;0.0854;0.158;0.0688;0.3988;0.1696;
A17;0.0854;0.1851;0.0817;0.3954;0.2977;
M40a1;0.0854;0.3693;-0.1094;0.5626;0.0746;
F1g;0.0854;0.3448;-0.0467;0.4103;0.2913;
M13a2*;0.0854;-0.4238;-0.4362;0.5334;-0.0668;
F1d;0.0854;0.1662;0.1063;0.4613;0.3458;
B4a5;0.0854;0.1892;0.1405;0.4439;0.409;
F1g1*;0.0854;0.1995;0.1124;0.5295;0.5098;
C5d;0.0854;0.1995;0.1124;0.5295;0.5098;
D4b2;0.0854;0.1995;0.1124;0.5295;0.5098;
A+152+16362;0.0854;0.4087;-0.1047;0.5015;0.3634;
M37e;0.0854;0.1665;0.1568;0.3699;0.3282;
F1a'c'f;0.0854;0.1865;0.1565;0.3819;0.3374;
M12b;0.0854;0.1779;0.1369;0.3455;0.305;
B5a1;0.0854;0.1898;0.144;0.3715;0.3308;
B4g2;0.0854;0.1867;0.1421;0.4179;0.3779;
Z3;0.0854;0.6153;-0.3491;0.5062;0.2711;
M3a1+204;0.0854;0.1711;0.0913;0.348;0.3198;
K1a4;0.0854;0.1711;0.0913;0.348;0.3198;
M7b1a1e;0.0854;0.1594;0.0987;0.3063;0.3009;
B4d1a;0.0854;0.6696;-0.4028;0.5256;0.2651;
F2a1;0.0854;0.2886;0.0491;0.4118;0.3194;
A13*;0.0854;0.5382;-0.247;0.4856;0.2832;
G2;0.0854;0.4203;-0.1257;0.4534;0.3106;
D4j3;0.0854;0.5267;-0.2373;0.4924;0.2715;
G2a1d2a;0.0854;0.4088;-0.0968;0.4841;0.3238;
G3b2;0.0854;0.1843;0.0956;0.3676;0.2996;
D4j1a1;0.0854;0.2149;0.1157;0.3713;0.283;
R2+13500;0.0854;0.1996;0.1287;0.4232;0.3625;
D5a2a1;0.0854;0.1819;0.1298;0.4057;0.3319;
Z3a;0.0854;0.2464;0.0841;0.4582;0.3496;
G1a;0.0854;0.2082;0.1398;0.3548;0.299;
N9a3;0.0854;0.3693;-0.1094;0.5626;0.0746;
F1a2a;0.0854;0.2023;0.1078;0.3782;0.339;
H14;0.0854;0.3693;-0.1094;0.5626;0.0746;
M5a;0.0854;0.3693;-0.1094;0.5626;0.0746;
C7a1a;0.0854;0.3693;-0.1094;0.5626;0.0746;
D4g2a1;0.0854;0.2047;-0.0283;0.2415;0.1754;
M5c2;0.0854;0.3693;-0.1094;0.5626;0.0746;
M60;0.0854;0.3693;-0.1094;0.5626;0.0746;
M6a1a;0.0854;0.3693;-0.1094;0.5626;0.0746;
R30;0.0854;0.3693;-0.1094;0.5626;0.0746;
I1b;0.0854;0.3693;-0.1094;0.5626;0.0746;
M45a;0.0854;0.3693;-0.1094;0.5626;0.0746;
M30;0.0854;0.3693;-0.1094;0.5626;0.0746;
F1a1c1;0.0854;0.3092;0.0929;0.5595;0.2938;
F1a1a1*1;0.0854;0.2911;0.0893;0.5188;0.2889;
E1a1a1a*;0.0854;0.3006;0.1091;0.5586;0.3083;
M71c*;0.0854;0.3014;0.1076;0.5587;0.3069;
U2c1b*1;0.0854;0.3693;-0.1094;0.5626;0.0746;
U2b2;0.0854;0.3693;-0.1094;0.5626;0.0746;
D4g2a1c;0.0854;0.3174;-0.0443;0.4946;0.1617;
M71a1a;0.0854;0.2796;0.0975;0.5357;0.457;
M50a;0.0854;0.0842;0.2886;-0.131;-0.0195;
M61;0.0854;0.1915;0.1404;0.3289;0.3228;
D4j1;0.0854;0.2757;0.0759;0.4916;0.3706;
R5a1a;0.0854;0.2757;0.0759;0.4916;0.3706;
C4a1b;0.0854;0.2757;0.0759;0.4916;0.3706;
M8a2a1*;0.0854;0.2464;0.0814;0.4031;0.3417;
Z;0.0854;0.1808;0.1451;0.3246;0.2706;
M9a1a1;0.0854;0.1808;0.1451;0.3246;0.2706;
M12a1b;0.0854;0.1808;0.1451;0.3246;0.2706;
M68a;0.0854;0.1734;0.1645;0.3516;0.3247;
B4b1;0.0854;0.1557;0.169;0.3151;0.3091;
M9a4a1;0.0854;-0.0495;0.7139;-0.6382;-0.2858;
B5a;0.0854;0.2018;0.1531;0.435;0.3897;
B4h1;0.0854;0.2018;0.1531;0.435;0.3897;
F2h;0.0854;0.2018;0.1531;0.435;0.3897;
F1a;0.0854;0.2049;0.1161;0.3756;0.344;
D6c;0.0854;0.2006;0.1415;0.4461;0.444;
M57a;0.0854;0.3693;-0.1094;0.5626;0.0746;
M48;0.0854;0.3693;-0.1094;0.5626;0.0746;
I1e;0.0854;0.2247;0.0721;0.3733;0.3173;
D4h3;0.0854;0.2247;0.0721;0.3733;0.3173;
M7c2;0.0854;0.2436;0.0989;0.3489;0.3428;
G1a2;0.0854;0.1405;0.1416;0.3487;0.3097;
F1a1a*3;0.0854;0.1557;0.169;0.3151;0.3091;
M9b;0.0854;0.1578;0.1679;0.2847;0.2648;
M32c;0.0854;0.1557;0.169;0.3151;0.3091;
B5b1;0.0854;0.2073;0.1625;0.2932;0.2368;
M35b+16304;0.0854;0.1373;-0.0399;0.0721;0.154;
R8a1a1a1;0.0854;0.1373;-0.0399;0.0721;0.154;
M3c2;0.0854;0.1373;-0.0399;0.0721;0.154;
B5a1d*1;0.0854;0.2704;0.0852;0.4723;0.2832;
G2b1a;0.0854;0.2175;0.1214;0.4192;0.3679;
B4a1c5*;0.0854;0.1935;0.1255;0.4429;0.3907;
F1e;0.0854;0.1974;0.1388;0.4526;0.3986;
F3b+152;0.0854;0.1229;0.0845;0.4507;0.4177;
M7c2b;0.0854;0.1229;0.0845;0.4507;0.4177;
M7b1a1h;0.0854;0.1468;0.1442;0.3685;0.3488;
G3a1;0.0854;0.281;0.0281;0.3084;0.2612;
A+152+16362+200;0.0854;0.2752;0.0882;0.5158;0.4383;
R6+16129*;0.0854;0.299;0.1121;0.5584;0.3109;
M5a2a;0.0854;0.2247;0.0721;0.3733;0.3173;
B4a4;0.0854;0.214;0.1285;0.4234;0.3846;
Y1;0.0854;0.214;0.1285;0.4234;0.3846;
G2a+152;0.0854;0.214;0.1285;0.4234;0.3846;
A15a;0.0854;0.214;0.1285;0.4234;0.3846;
G1a1;0.0854;0.1981;0.141;0.41;0.3727;
G2c;0.0854;0.214;0.1285;0.4234;0.3846;
D5a2b;0.0854;0.1607;0.1423;0.3754;0.3148;
D4b1a;0.0854;0.214;0.1285;0.4234;0.3846;
U2c1;0.0854;0.1405;0.1416;0.3487;0.3097;
B5b1a;0.0854;0.1405;0.1416;0.3487;0.3097;
P1d2;0.0854;-0.1015;0.6746;-0.9627;-0.6921;
D6a;0.0854;-0.1015;0.6746;-0.9627;-0.6921;
M51a1a;0.0854;0.1592;0.1672;0.2655;0.2368;
M10;0.0854;0.2103;0.1295;0.4673;0.4153;
D5c+16311;0.0854;0.1403;0.1799;0.285;0.2844;
B4c1b2b;0.0854;0.1403;0.1799;0.285;0.2844;
D4s;0.0854;0.1655;0.1429;0.3871;0.3204;
M11a2;0.0854;0.1901;0.1405;0.425;0.3513;
M12a1a1;0.0854;0.1692;0.1685;0.3975;0.3836;
B5b2+@204;0.0854;0.1403;0.1799;0.285;0.2844;
M22b*;0.0854;0.1403;0.1799;0.285;0.2844;
D4a7*;0.0854;0.1403;0.1799;0.285;0.2844;
M9a4b;0.0854;0.1403;0.1799;0.285;0.2844;
F1b1c;0.0854;0.2379;0.1497;0.4573;0.3934;
F1c1a1;0.0854;0.1865;0.0921;0.3454;0.3235;
M7c1c2a;0.0854;0.2476;0.1416;0.486;0.4113;
D4b2b2a;0.0854;0.2476;0.1416;0.486;0.4113;
B4c;0.0854;0.2323;0.1509;0.439;0.3789;
B4c1a;0.0854;0.2082;0.1398;0.3548;0.299;
M70;0.0854;0.2082;0.1398;0.3548;0.299;
B4;0.0854;0.2161;0.1679;0.3927;0.353;
B4g1;0.0854;0.2161;0.1679;0.3927;0.353;
G2a1+16189;0.0854;0.1816;0.1532;0.4395;0.3896;
F2a;0.0854;0.1911;0.1472;0.4526;0.3817;
B4a1c*;0.0854;0.1621;0.1817;0.3664;0.3539;
B4c1b+16335;0.0854;0.1621;0.1817;0.3664;0.3539;
R9b1a2a;0.0854;0.2121;0.0947;0.4611;0.3567;
R9b1a2b;0.0854;0.1621;0.1817;0.3664;0.3539;
N21;0.0854;0.1373;-0.0399;0.0721;0.154;
M5;0.0854;0.1373;-0.0399;0.0721;0.154;
B4a1d;0.0854;0.1403;0.1799;0.285;0.2844;

contrib
   ;Dim 1;Dim 2;Dim 3;Dim 4;Dim 5;
M7c1c3;0.0169;0.148;0.4809;1.0286;0.3438;
F3a1;0.0021;0.0019;0.0184;0.0042;0.0075;
B4c1b2a2;0.0104;0.0938;0.3604;0.828;0.2829;
M7c1c3e;0.0011;0.001;0.0222;0.0161;0.0035;
Y2a;0.0016;0.0086;0.0515;0.0877;0.0295;
F3b1a1;0.0019;0.0057;0.0515;0.0656;0.019;
F1a1a1;0.0115;0.0542;0.0298;0.1923;0.1367;
N7a2;6e-04;0.0037;0.0052;0.0295;0.0399;
M12b1a2a;0.0089;0.1454;0.2157;2.0893;3.5465;
M74;4e-04;0.0017;7e-04;0.0076;0.0092;
B5a1a;0.016;0.0781;0.0511;0.3038;0.2586;
M74b2;0.0038;0.0084;0.0149;0.0321;0.0218;
M17c1a1a;8e-04;0.0061;0.0084;0.054;0.0728;
R22;0.0016;0.0562;0.0123;0.0407;0.0058;
B4c1b2c2;2e-04;0.001;5e-04;0.0032;0.0023;
F1f;0.0128;0.0625;0.0312;0.1425;0.1081;
R22*;0.0026;0.013;0.0078;0.048;0.0359;
M46;2e-04;0.0013;3e-04;0.0047;0.0046;
M12b1b;0.0016;0.0115;0.0071;0.0503;0.043;
R23;1e-04;8e-04;3e-04;0.0023;0.0015;
M26;0.0015;0;0.0197;0.0071;9e-04;
M9a4a2;2e-04;0.001;9e-04;0.0042;0.0043;
Z3c;1e-04;5e-04;0;0.001;8e-04;
N9a10+16311;0.002;0.0096;0.0054;0.0503;0.0422;
B4c2;0.0085;0.0226;0.0683;0.0218;0.0394;
M7c1c2;0.002;0.001;0.0166;3e-04;0.0024;
R9b1b;0.0015;0.0186;0;0.058;0.0216;
B4h;7e-04;0.0032;0.0028;0.0146;0.0127;
F1a1a;0.0161;0.0473;0.0212;0.3116;0.1754;
C7*;2e-04;6e-04;4e-04;0.0026;0.0014;
B5a1d;0.0101;0.0463;0.0343;0.1549;0.1521;
N;3e-04;0.0019;2e-04;0.002;8e-04;
B4c2b;4e-04;0.0016;0.0107;0.0127;0.003;
M73;3e-04;0.0031;0;0.0086;0.0014;
M12b1a2;3e-04;0.0013;8e-04;0.0054;0.004;
B4b1a2;0.0065;0.0687;0.353;1.1705;0.4932;
M23;9e-04;0.0039;0.0029;0.0177;0.0128;
M24a;0.0068;0.8956;0.5903;3e-04;0.0172;
M7c1b2b;9e-04;6e-04;0.0174;0.0111;0.0035;
M20*;0.004;0.0225;0.0018;0.0774;0.0548;
N9a6;0.0033;0.0012;0.0286;0.0177;0.0373;
M17a;0.0039;2e-04;0.038;4e-04;2e-04;
M51a2;3e-04;2e-04;0.0021;1e-04;5e-04;
B5a1b1;0.0037;0.0206;0.0211;0.1129;0.1229;
R9b2;0.0043;0.0152;0.0064;0.0913;0.0641;
F3a;2e-04;0;0.0029;7e-04;1e-04;
R9b1a1a;0.0284;57.7692;36.7082;0.401;0.4402;
M21b2;0.0027;0.0291;0.0024;0.0832;0.0218;
M76*;6e-04;0.0046;3e-04;0.0146;0.0013;
F1+16189;2e-04;7e-04;6e-04;0.0021;0.0017;
F2;2e-04;8e-04;6e-04;0.0049;0.0049;
M74b;0.0016;0.0023;5e-04;0.0342;0.0149;
D4;0.0014;0.0243;3e-04;0.0478;0.0154;
U2b1;2e-04;0.0035;0.0011;0.0059;4e-04;
M74a;4e-04;0.0037;5e-04;0.0135;0.0089;
M13b1;1e-04;0;7e-04;0;0;
M24b;0.0072;0.0951;0.0272;0.5322;0.3005;
M75;1e-04;7e-04;1e-04;0.0024;0.0015;
M51a1a*2;6e-04;0.0055;0.0038;0.0396;0.0372;
M17c;6e-04;0.0016;0.0028;0.0023;0.0015;
B4c2c;0.0062;0.081;0.0533;0.6944;0.7356;
N8*;4e-04;2e-04;9e-04;0.0107;0.0012;
M21b+210*;0.0012;0.0019;0.003;0.0471;0.0488;
M7b1a1f;0.0096;0.0222;0.2138;0.189;0.0346;
M51a;0.0011;0.268;0.2495;2e-04;9e-04;
N22;0.0035;2e-04;0.2095;0.1988;0.0541;
B5a1c;0.0011;0.0051;0.0042;0.0231;0.0184;
M72;6e-04;0.2281;0.2026;0.0439;1e-04;
M51a1b;0.0015;0.006;0.0043;0.0289;0.0197;
M68a1;0.0012;0.0089;0.0198;0.1075;0.1589;
M17c1a1;1e-04;3e-04;0;0.0015;5e-04;
M73b;0.0014;2e-04;0.019;0.0029;0;
B4+16261;1e-04;3e-04;3e-04;0.0011;0.001;
M13c*;6e-04;0.0138;0.0025;0.0309;4e-04;
M7b1a1;0.0027;0.0135;0.0151;0.119;0.1384;
M59;7e-04;0.0041;0.0042;0.0342;0.038;
F1a1;0.0029;0.0372;0.0011;0.1081;0.0746;
C7;0.0012;0.0041;0.0022;0.0258;0.0235;
M23'75;0.0014;0.0052;0.0049;0.0246;0.0183;
N21+195;0.0023;0.0118;0.0019;0.0734;0.0304;
M21b;0.0018;0.0067;0.011;0.0017;0;
M68a2;1e-04;6e-04;0;0.0014;0.0011;
F4a2;9e-04;0.0048;0.0029;0.0245;0.0208;
M68a1a;0.0035;0.0207;0.0237;0.207;0.2255;
M7b1a1a2;0.0043;0.002;0.0635;0.019;0.0012;
M69a;0.0048;0.0471;0.0551;0.5221;0.6342;
N7b;0.0038;0.0309;0.0268;0.2495;0.2463;
W3b;0;2e-04;0;3e-04;3e-04;
F1a1d;0.0019;0.0046;0.0062;0.0257;0.024;
M1'20'51;0.0043;1.6014;1.4179;0.3842;0.0032;
B5a*;3e-04;0.0011;6e-04;0.0069;0.006;
R9b;2e-04;0.0012;4e-04;0.0049;0.0045;
B6a;0.0039;0.0255;0.0096;0.1126;0.0793;
M7b1a1e1;0.0012;0.0034;0.0024;0.0194;0.0161;
M76a;2e-04;8e-04;3e-04;0.0065;0.0049;
N9a6*;0;2e-04;0;3e-04;3e-04;
N9a6a;0.0087;0.0131;0.2159;0.2203;0.0783;
N7a1;1e-04;5e-04;0;0.001;8e-04;
M12b1a2b;7e-04;0.0096;0.014;0.1294;0.2145;
M68a2a;0.0016;0.0267;0.0393;0.392;0.6652;
M3d1a*;8e-04;0.0047;0.0033;0.0295;0.0354;
M21b1;1e-04;4e-04;3e-04;0.0027;0.0032;
B5b;1e-04;6e-04;6e-04;0.0032;0.0037;
M71+151;0.0061;0.0084;0.0119;0.174;0.153;
M51b*;0.0013;0.0056;0.0092;0.0416;0.0468;
M51b1a;0.0015;0.0084;0.0081;0.0654;0.0646;
M51b1b;0.0018;0.0225;0.0313;0.2881;0.3825;
M12b2a*;0.0024;0.0266;0.0412;0.3373;0.4582;
M91b;0.0013;0.0094;0.0198;0.1089;0.1575;
M91b*;0.0012;0.0087;0.02;0.1076;0.1597;
R9c1a;0.0045;0.0168;0.1199;0.2115;0.0684;
F3b1a;0.0014;0.0103;0.0214;0.0398;0.011;
M7b1a1+(16192);0.0046;0.0048;0.0238;0.0119;0.014;
B4a1a1;0.0121;0.316;0.4066;1.6511;0.6353;
B4a1a;0.0102;0.2341;0.2978;1.2187;0.4626;
E2a;0.0048;0.1135;0.1402;0.5353;0.1973;
E1a2+(16261);0.0057;0.0758;0.1434;0.3287;0.0957;
F3b1b;0.0064;0.0634;0.3524;0.9765;0.3923;
E1a1a1;0.0027;0.0185;0.0901;0.2221;0.0786;
B4a2a;2e-04;4e-04;0.0041;0.0053;0.0016;
B5a1d*2;1e-04;6e-04;0.0043;0.0071;0.0022;
Y2a1;0.0154;0.1289;0.6638;1.4678;0.5108;
M69;1e-04;6e-04;0.0043;0.0071;0.0022;
N9a6a*3;3e-04;0.0012;0.0086;0.0142;0.0044;
M7c1c3b;0.0022;0.0117;0.079;0.1353;0.0426;
F1a4a1;0.0029;0.0285;0.0835;0.2185;0.0779;
B4a1a5;7e-04;0.0043;0.0283;0.0482;0.0154;
E1a1a1a;0.0052;0.1013;0.163;0.5602;0.209;
M74b1;0.0027;0.0035;0.013;0.0031;4e-04;
E1a1b;2e-04;3e-04;0.0081;0.0055;0.0013;
N10;0.0016;0.0023;0.0516;0.0369;0.0091;
M73*1;0;1e-04;0.001;0.0013;4e-04;
F1a3a;0.0014;0.0118;0.0848;0.2321;0.0961;
M7b1a2a1;0.0092;0.1252;0.497;1.3454;0.5079;
Q1;0.0014;0.007;0.0775;0.1891;0.0843;
B4b1a2i;0;1e-04;0.001;0.0013;4e-04;
B4a1a3;0;1e-04;0.001;0.0013;4e-04;
P1d1;8e-04;0.0063;0.0523;0.1424;0.0666;
H2a2a1;0;1e-04;0.001;0.0013;4e-04;
B5b1c;0.0081;0.0738;0.386;1.0485;0.3855;
M21a;0.0065;0.0033;0.0506;0.0069;0.0051;
M77;4e-04;9e-04;0.0015;1e-04;1e-04;
F3b1a+16093;3e-04;0.0036;0.0139;0.0378;0.0161;
P1d;0.0022;0.0043;0.15;0.323;0.166;
F1a1a1*3;5e-04;7e-04;0.0162;0.011;0.0026;
H2a;99.2754;0;0;0;0;
M7b1a1a1*;5e-04;0.0024;0.0167;0.0322;0.011;
M17c1a;0.001;0.0012;0.0226;0.0189;0.0044;
H2a2a1d;7e-04;0.001;0.0243;0.0165;0.004;
B4a1a1q;0;1e-04;0.0011;0.0031;0.0015;
F1a1a1*2;5e-04;7e-04;0.0162;0.011;0.0026;
E1a1b*;2e-04;3e-04;0.0081;0.0055;0.0013;
E2a2;2e-04;3e-04;0.0081;0.0055;0.0013;
E1a1;4e-04;0.001;0.0124;0.013;0.0038;
